# Title: Back
# Axes 
# X: X
# Y: Y
# Entries: 3191  Under/Over: 599/15
# mean =        214.5    std_dev =        68.44
# bin            X             Y             EY
   0         163.4           194          13.93
   1         170.2           180          13.42
   2           177           163          12.77
   3         183.8           174          13.19
   4         190.6           179          13.38
   5         197.4           152          12.33
   6         204.2           136          11.66
   7           211           144             12
   8         217.8           135          11.62
   9         224.6           103          10.15
  10         231.4           108          10.39
  11         238.2            96          9.798
  12           245            95          9.747
  13         251.8            78          8.832
  14         258.6            51          7.141
  15         265.4            66          8.124
  16         272.2            41          6.403
  17           279            57           7.55
  18         285.8            42          6.481
  19         292.6            36              6
  20         299.4            44          6.633
  21         306.2            27          5.196
  22           313            36              6
  23         319.8            25              5
  24         326.6            20          4.472
  25         333.4            24          4.899
  26         340.2            20          4.472
  27           347            15          3.873
  28         353.8            12          3.464
  29         360.6            15          3.873
  30         367.4            13          3.606
  31         374.2            14          3.742
  32           381            14          3.742
  33         387.8             7          2.646
  34         394.6             7          2.646
  35         401.4             7          2.646
  36         408.2             6          2.449
  37           415             8          2.828
  38         421.8             5          2.236
  39         428.6             4              2
  40         435.4             5          2.236
  41         442.2             1              1
  42           449             1              1
  43         455.8             2          1.414
  44         462.6             6          2.449
  45         469.4             2          1.414
  46         476.2             3          1.732
  47           483             2          1.414
  48         489.8             1              1
  49         496.6             1              1
