# Title: Ht
# Axes 
# X: X
# Y: Y
# Entries: 3891  Under/Over: 8/230
# mean =        347.9    std_dev =        90.28
# bin            X             Y             EY
   0         163.4             3          1.732
   1         170.2             4              2
   2           177             9              3
   3         183.8            10          3.162
   4         190.6            13          3.606
   5         197.4            20          4.472
   6         204.2            21          4.583
   7           211            36              6
   8         217.8            33          5.745
   9         224.6            50          7.071
  10         231.4            42          6.481
  11         238.2            78          8.832
  12           245            79          8.888
  13         251.8            74          8.602
  14         258.6            76          8.718
  15         265.4           106           10.3
  16         272.2            91          9.539
  17           279           127          11.27
  18         285.8           116          10.77
  19         292.6           129          11.36
  20         299.4           139          11.79
  21         306.2           133          11.53
  22           313           155          12.45
  23         319.8           130           11.4
  24         326.6           170          13.04
  25         333.4           132          11.49
  26         340.2           155          12.45
  27           347           110          10.49
  28         353.8           132          11.49
  29         360.6           137           11.7
  30         367.4            98          9.899
  31         374.2            99           9.95
  32           381            86          9.274
  33         387.8            88          9.381
  34         394.6            80          8.944
  35         401.4            91          9.539
  36         408.2            61           7.81
  37           415            82          9.055
  38         421.8            57           7.55
  39         428.6            66          8.124
  40         435.4            50          7.071
  41         442.2            42          6.481
  42           449            34          5.831
  43         455.8            40          6.325
  44         462.6            34          5.831
  45         469.4            41          6.403
  46         476.2            19          4.359
  47           483            26          5.099
  48         489.8            23          4.796
  49         496.6            26          5.099
