# Title: Data
# Axes 
# X: X
# Y: Y
# Entries: 405  Under/Over: 58/4
# mean =          254    std_dev =        93.81
# bin            X             Y             EY
   0         163.4            12          3.464
   1         170.2            12          3.464
   2           177            14          3.742
   3         183.8            16              4
   4         190.6            12          3.464
   5         197.4            14          3.742
   6         204.2            21          4.583
   7           211            17          4.123
   8         217.8            10          3.162
   9         224.6            17          4.123
  10         231.4            10          3.162
  11         238.2             8          2.828
  12           245             7          2.646
  13         251.8            11          3.317
  14         258.6            15          3.873
  15         265.4             5          2.236
  16         272.2             7          2.646
  17           279             5          2.236
  18         285.8             4              2
  19         292.6             7          2.646
  20         299.4             5          2.236
  21         306.2             9              3
  22           313            10          3.162
  23         319.8             8          2.828
  24         326.6             6          2.449
  25         333.4             7          2.646
  26         340.2             8          2.828
  27           347             8          2.828
  28         353.8             4              2
  29         360.6             2          1.414
  30         367.4             6          2.449
  31         374.2             8          2.828
  32           381             6          2.449
  33         387.8             3          1.732
  34         394.6             1              1
  35         401.4             3          1.732
  36         408.2             2          1.414
  37           415             0              0
  38         421.8             2          1.414
  39         428.6             3          1.732
  40         435.4             3          1.732
  41         442.2             3          1.732
  42           449             3          1.732
  43         455.8             2          1.414
  44         462.6             1              1
  45         469.4             0              0
  46         476.2             2          1.414
  47           483             3          1.732
  48         489.8             0              0
  49         496.6             1              1
