# Title: Data
# Axes 
# X: X
# Y: Y
# Entries: 404  Under/Over: 0/0
# mean =            1    std_dev =       0.3655
# bin            X             Y             EY
   0         0.424             0              0
   1         0.472             2          1.414
   2          0.52             7          2.646
   3         0.568            23          4.796
   4         0.616            31          5.568
   5         0.664            21          4.583
   6         0.712            28          5.292
   7          0.76            24          4.899
   8         0.808            31          5.568
   9         0.856            27          5.196
  10         0.904            20          4.472
  11         0.952            13          3.606
  12             1            24          4.899
  13         1.048            13          3.606
  14         1.096             6          2.449
  15         1.144            13          3.606
  16         1.192            12          3.464
  17          1.24            16              4
  18         1.288            13          3.606
  19         1.336            10          3.162
  20         1.384            12          3.464
  21         1.432             8          2.828
  22          1.48            12          3.464
  23         1.528             5          2.236
  24         1.576             5          2.236
  25         1.624             3          1.732
  26         1.672             3          1.732
  27          1.72             6          2.449
  28         1.768             4              2
  29         1.816             2          1.414
  30         1.864             2          1.414
  31         1.912             3          1.732
  32          1.96             1              1
  33         2.008             0              0
  34         2.056             0              0
  35         2.104             1              1
  36         2.152             0              0
  37           2.2             1              1
  38         2.248             0              0
  39         2.296             0              0
  40         2.344             0              0
  41         2.392             0              0
  42          2.44             1              1
  43         2.488             0              0
  44         2.536             0              0
  45         2.584             0              0
  46         2.632             0              0
  47          2.68             0              0
  48         2.728             0              0
  49         2.776             1              1
