# This histogram has 122990 entries
# Total under/overflows = 0/0
# mean =        11.73    std_dev =        6.897
# bin            X             Y             EY
   0             1          9803          99.01
   1             2          1745          41.77
   2             3          3003           54.8
   3             4          5467          73.94
   4             5     1.539e+04          124.1
   5             6          2382          48.81
   6             7          2944          54.26
   7             8          7889          88.82
   8             9          8635          92.92
   9            10           235          15.33
  10            11          1290          35.92
  11            12          5210          72.18
  12            13          2466          49.66
  13            14          8053          89.74
  14            15          9479          97.36
  15            16          1967          44.35
  16            17           220          14.83
  17            18          6611          81.31
  18            19          7268          85.25
  19            20      1.22e+04          110.4
  20            21          3977          63.06
  21            22           963          31.03
  22            23          2951          54.32
  23            24           176          13.27
  24            25          2584          50.83
  25            26            80          8.944
  26            27             0              0
  27            28             0              0
  28            29             0              0
  29            30             0              0
  30            31             0              0
  31            32             0              0
  32            33             0              0
  33            34             0              0
  34            35             0              0
  35            36             0              0
  36            37             0              0
  37            38             0              0
  38            39             0              0
  39            40             0              0
  40            41             0              0
  41            42             0              0
  42            43             0              0
  43            44             0              0
  44            45             0              0
  45            46             0              0
  46            47             0              0
  47            48             0              0
  48            49             0              0
  49            50             0              0
