# This histogram has 12058 entries
# Total under/overflows = 1804/0
# mean =        13.73    std_dev =        13.53
# bin            X             Y             EY
   0             1           165          12.85
   1             2           801           28.3
   2             3           625             25
   3             4           912           30.2
   4             5           684          26.15
   5             6           428          20.69
   6             7           291          17.06
   7             8            85           9.22
   8             9           400             20
   9            10           541          23.26
  10            11           179          13.38
  11            12           165          12.85
  12            13           204          14.28
  13            14           227          15.07
  14            15           122          11.05
  15            16           272          16.49
  16            17           429          20.71
  17            18            98          9.899
  18            19           224          14.97
  19            20           181          13.45
  20            21           169             13
  21            22            96          9.798
  22            23            76          8.718
  23            24            51          7.141
  24            25           130           11.4
  25            26            38          6.164
  26            27            50          7.071
  27            28           248          15.75
  28            29           538          23.19
  29            30           154          12.41
  30            31            61           7.81
  31            32            38          6.164
  32            33            58          7.616
  33            34           102           10.1
  34            35           197          14.04
  35            36            83           9.11
  36            37            77          8.775
  37            38            52          7.211
  38            39           137           11.7
  39            40           151          12.29
  40            41           101          10.05
  41            42           114          10.68
  42            43           114          10.68
  43            44           102           10.1
  44            45            64              8
  45            46            46          6.782
  46            47            56          7.483
  47            48            50          7.071
  48            49            68          8.246
  49            50             0              0
