# This histogram has 30000 entries
# Total under/overflows = 0/0
# mean =      0.01781    std_dev =        3.711
# bin            X             Y             EY
   0          -9.8           192          13.86
   1          -9.4           204          14.28
   2            -9           201          14.18
   3          -8.6           179          13.38
   4          -8.2           209          14.46
   5          -7.8           189          13.75
   6          -7.4           207          14.39
   7            -7           200          14.14
   8          -6.6           195          13.96
   9          -6.2           212          14.56
  10          -5.8           224          14.97
  11          -5.4           242          15.56
  12            -5           284          16.85
  13          -4.6           321          17.92
  14          -4.2           413          20.32
  15          -3.8           499          22.34
  16          -3.4           547          23.39
  17            -3           674          25.96
  18          -2.6           860          29.33
  19          -2.2          1079          32.85
  20          -1.8          1248          35.33
  21          -1.4          1454          38.13
  22            -1          1552           39.4
  23          -0.6          1735          41.65
  24          -0.2          1789           42.3
  25           0.2          1853          43.05
  26           0.6          1723          41.51
  27             1          1657          40.71
  28           1.4          1393          37.32
  29           1.8          1241          35.23
  30           2.2          1058          32.53
  31           2.6           883          29.72
  32             3           719          26.81
  33           3.4           599          24.47
  34           3.8           474          21.77
  35           4.2           391          19.77
  36           4.6           314          17.72
  37             5           264          16.25
  38           5.4           266          16.31
  39           5.8           213          14.59
  40           6.2           217          14.73
  41           6.6           202          14.21
  42             7           205          14.32
  43           7.4           208          14.42
  44           7.8           214          14.63
  45           8.2           185           13.6
  46           8.6           208          14.42
  47             9           203          14.25
  48           9.4           203          14.25
  49           9.8           198          14.07
