# This histogram has 10000 entries
# Total under/overflows = 0/0
# mean =        999.4    std_dev =        115.1
# bin            X             Y             EY
   0            15             0              0
   1            45             0              0
   2            75             0              0
   3           105             0              0
   4           135             0              0
   5           165             0              0
   6           195             0              0
   7           225             0              0
   8           255             0              0
   9           285             0              0
  10           315             0              0
  11           345             0              0
  12           375             0              0
  13           405             0              0
  14           435             0              0
  15           465             0              0
  16           495             0              0
  17           525             0              0
  18           555             1              1
  19           585             4              2
  20           615             4              2
  21           645            10          3.162
  22           675            31          5.568
  23           705            35          5.916
  24           735            82          9.055
  25           765           128          11.31
  26           795           231           15.2
  27           825           333          18.25
  28           855           485          22.02
  29           885           600          24.49
  30           915           788          28.07
  31           945           860          29.33
  32           975          1093          33.06
  33          1005          1093          33.06
  34          1035           927          30.45
  35          1065           856          29.26
  36          1095           715          26.74
  37          1125           571           23.9
  38          1155           449          21.19
  39          1185           280          16.73
  40          1215           206          14.35
  41          1245           111          10.54
  42          1275            50          7.071
  43          1305            35          5.916
  44          1335            16              4
  45          1365             5          2.236
  46          1395             1              1
  47          1425             0              0
  48          1455             0              0
  49          1485             0              0
